hour,hourly_net_amount,hourly_net_amount_usd,cumulative_amount,cumulative_amount_usd
2024-07-25 02:00:00.000 UTC,7.08038075,456687.46133110754,40415.16419524985,2304226319.8657665
2024-07-25 01:00:00.000 UTC,10.32284861,676494.7736386153,40408.08381449985,2303769632.4044356
2024-07-25 00:00:00.000 UTC,-17.36239999,-1136084.5096096639,40397.76096588985,2303093137.630797
2024-07-24 23:00:00.000 UTC,0.42854242,28010.2739495866,40415.12336587985,2304229222.1404066
2024-07-24 22:00:00.000 UTC,-18.60191192,-1222773.7997095385,40414.69482345985,2304201211.866457
2024-07-24 21:00:00.000 UTC,-3.67970488,-243159.46130445122,40433.29673537985,2305423985.6661663
2024-07-24 20:00:00.000 UTC,2.19078257,144082.44602725492,40436.97644025985,2305667145.127471
2024-07-24 19:00:00.000 UTC,-0.70320344,-46295.5250490192,40434.785657689856,2305523062.6814437
2024-07-24 18:00:00.000 UTC,0.88847341,59212.84349349601,40435.48886112986,2305569358.206493
2024-07-24 17:00:00.000 UTC,2.55982448,169978.2586665488,40434.60038771986,2305510145.3629994
2024-07-24 16:00:00.000 UTC,1.77924559,117938.2191408568,40432.04056323986,2305340167.104333
2024-07-24 15:00:00.000 UTC,29.22825334,1955306.7231362523,40430.26131764986,2305222228.885192
2024-07-24 14:00:00.000 UTC,2.99620811,198992.262763217,40401.033064309864,2303266922.1620555
2024-07-24 13:00:00.000 UTC,-0.12943693,-8579.0913697237,40398.03685619986,2303067929.8992925
2024-07-24 12:00:00.000 UTC,0.84608754,56184.857676594605,40398.16629312986,2303076508.990662
2024-07-24 11:00:00.000 UTC,-0.11283603,-7506.046793571601,40397.320205589866,2303020324.1329856
2024-07-24 10:00:00.000 UTC,1.76113213,117031.49197825459,40397.433041619865,2303027830.179779
2024-07-24 09:00:00.000 UTC,-0.99694215,-66262.2485014035,40395.671909489865,2302910798.687801
2024-07-24 08:00:00.000 UTC,2.55501021,168816.6019529817,40396.668851639864,2302977060.936302
2024-07-24 07:00:00.000 UTC,0.03028137,1996.4979630371997,40394.11384142986,2302808244.334349
2024-07-24 06:00:00.000 UTC,-0.0228789,-1506.6476335349998,40394.083560059866,2302806247.836386
2024-07-24 05:00:00.000 UTC,1.06665886,70295.4961877386,40394.10643895987,2302807754.4840198
2024-07-24 04:00:00.000 UTC,0.27870831,18417.5941801707,40393.03978009987,2302737458.987832
2024-07-24 03:00:00.000 UTC,-0.6,-39542.826,40392.76107178987,2302719041.393652
2024-07-24 02:00:00.000 UTC,0.85934667,56472.2070361176,40393.36107178987,2302758584.219652
2024-07-24 01:00:00.000 UTC,-1.42177499,-93589.8742337392,40392.50172511987,2302702112.012616
2024-07-24 00:00:00.000 UTC,-1.06009619,-69926.88115884631,40393.92350010987,2302795701.88685
2024-07-23 23:00:00.000 UTC,-0.29193775,-19263.883194692502,40394.98359629987,2302865628.7680087
2024-07-23 22:00:00.000 UTC,4.17779097,275466.0733955454,40395.27553404987,2302884892.6512036
2024-07-23 21:00:00.000 UTC,-211.8741256,-13971827.3385664,40391.09774307987,2302609426.577808
2024-07-23 20:00:00.000 UTC,-1.13386386,-74377.16053333199,40602.971868679866,2316581253.916374
2024-07-23 19:00:00.000 UTC,2.21445644,145951.2143964028,40604.105732539865,2316655631.0769076
2024-07-23 18:00:00.000 UTC,-15.54765418,-1026271.8892615669,40601.891276099865,2316509679.862511
2024-07-23 17:00:00.000 UTC,1.45014321,95750.53441713931,40617.438930279866,2317535951.751773
2024-07-23 16:00:00.000 UTC,589.05166187,39236254.06531458,40615.988787069866,2317440201.2173557
2024-07-23 15:00:00.000 UTC,0.99015142,66602.0302890758,40026.93712519987,2278203947.152041
2024-07-23 14:00:00.000 UTC,0.56821631,37579.3095451467,40025.946973779864,2278137345.121752
2024-07-23 13:00:00.000 UTC,18.84760207,1254068.9301642526,40025.378757469865,2278099765.8122067
2024-07-23 12:00:00.000 UTC,2.01667446,134602.7553319986,40006.53115539986,2276845696.8820424
2024-07-23 11:00:00.000 UTC,-3.19016765,-213445.950632316,40004.51448093986,2276711094.1267104
2024-07-23 10:00:00.000 UTC,-0.86746929,-58096.8038918475,40007.70464858986,2276924540.0773425
2024-07-23 09:00:00.000 UTC,5.78658022,386969.27740278543,40008.57211787986,2276982636.881234
2024-07-23 08:00:00.000 UTC,-5.67324964,-377615.52404564444,40002.78553765986,2276595667.6038313
2024-07-23 07:00:00.000 UTC,-89.76989912,-5977814.38805944,40008.45878729986,2276973283.1278768
2024-07-23 06:00:00.000 UTC,-29.61246121,-1967694.744974322,40098.22868641986,2282951097.5159364
2024-07-23 05:00:00.000 UTC,-30.94510883,-2073667.3295734543,40127.841147629864,2284918792.2609105
2024-07-23 03:00:00.000 UTC,7.69365071,520538.0968482794,40158.78625645986,2286992459.590484
2024-07-23 02:00:00.000 UTC,35.34745548,2383553.8596220175,40151.09260574986,2286471921.4936357
2024-07-23 01:00:00.000 UTC,69.32499385,4683538.351511166,40115.74515026986,2284088367.6340137
2024-07-23 00:00:00.000 UTC,1.24665232,84260.1831208512,40046.42015641986,2279404829.2825027
2024-07-22 23:00:00.000 UTC,0.30416165,20591.7345801505,40045.17350409986,2279320569.099382
2024-07-22 22:00:00.000 UTC,-2.26790855,-153878.1167364665,40044.86934244986,2279299977.364802
2024-07-22 21:00:00.000 UTC,4.18010638,284771.25197579677,40047.13725099986,2279453855.4815383
2024-07-22 20:00:00.000 UTC,1.17699596,80290.25065634999,40042.95714461986,2279169084.2295623
2024-07-22 19:00:00.000 UTC,2.07116646,139776.189536082,40041.78014865986,2279088793.978906
2024-07-22 18:00:00.000 UTC,14.60548033,985754.8310899995,40039.70898219986,2278949017.78937
2024-07-22 17:00:00.000 UTC,45.16605982,3030796.178525388,40025.10350186986,2277963262.95828
2024-07-22 16:00:00.000 UTC,73.57612234,4939359.333647178,39979.93744204986,2274932466.7797546
2024-07-22 15:00:00.000 UTC,-5.2191747,-348267.438010215,39906.36131970986,2269993107.4461074
2024-07-22 14:00:00.000 UTC,3.07010127,206144.3444531406,39911.58049440986,2270341374.8841176
2024-07-22 13:00:00.000 UTC,-1.58118207,-107039.6697870786,39908.51039313986,2270135230.5396643
2024-07-22 12:00:00.000 UTC,-0.69153944,-46731.15108929759,39910.09157520986,2270242270.209451
2024-07-22 11:00:00.000 UTC,1.33400202,89958.2661384576,39910.78311464986,2270289001.3605404
2024-07-22 10:00:00.000 UTC,-1.30554636,-88046.55568148039,39909.44911262986,2270199043.094402
2024-07-22 09:00:00.000 UTC,1.7702461,118866.00677826001,39910.75465898986,2270287089.6500835
2024-07-22 08:00:00.000 UTC,-1.75231482,-117891.4128719946,39908.98441288986,2270168223.6433053
2024-07-22 07:00:00.000 UTC,2.95660186,199366.472191567,39910.73672770986,2270286115.056177
2024-07-22 06:00:00.000 UTC,0.40173729,27183.3448244592,39907.78012584986,2270086748.583986
2024-07-22 05:00:00.000 UTC,-0.54039661,-36710.038775672605,39907.37838855986,2270059565.2391615
2024-07-22 04:00:00.000 UTC,0.90058524,61150.04399498159,39907.91878516986,2270096275.277937
2024-07-22 03:00:00.000 UTC,1.83194044,124751.663277164,39907.01819992986,2270035125.233942
2024-07-22 02:00:00.000 UTC,6.73447035,457106.95648019854,39905.186259489856,2269910373.570665
2024-07-22 01:00:00.000 UTC,1.54389347,105284.79621695979,39898.45178913986,2269453266.614185
2024-07-22 00:00:00.000 UTC,6.22285853,424124.58591341233,39896.90789566986,2269347981.817968
2024-07-21 23:00:00.000 UTC,0.69104651,47012.1359415785,39890.685037139854,2268923857.2320547
2024-07-21 22:00:00.000 UTC,-100.87406322,-6876478.9719410185,39889.99399062985,2268876845.096113
2024-07-21 21:00:00.000 UTC,1.88933843,128045.64218839821,39990.86805384985,2275753324.068054
2024-07-21 20:00:00.000 UTC,13.61369778,918389.3095532904,39988.97871541985,2275625278.4258657
2024-07-21 19:00:00.000 UTC,-0.91733901,-61401.33441636179,39975.36501763985,2274706889.1163125
2024-07-21 18:00:00.000 UTC,-4.84089513,-323236.5400740678,39976.28235664985,2274768290.450729
2024-07-21 17:00:00.000 UTC,0.73053884,49341.725588802,39981.12325177985,2275091526.990803
2024-07-21 16:00:00.000 UTC,3.50529879,235605.3281359995,39980.39271293985,2275042185.265214
2024-07-21 15:00:00.000 UTC,-8.18293102,-550937.924835254,39976.88741414985,2274806579.937078
2024-07-21 14:00:00.000 UTC,-1.96348138,-131190.9705105762,39985.07034516985,2275357517.861913
2024-07-21 13:00:00.000 UTC,-0.2312103,-15486.405779322002,39987.03382654985,2275488708.8324237
2024-07-21 12:00:00.000 UTC,-0.94910661,-63521.18078371739,39987.26503684985,2275504195.238203
2024-07-21 11:00:00.000 UTC,-15.87193887,-1061220.0535626179,39988.21414345985,2275567716.418987
2024-07-21 10:00:00.000 UTC,-0.01,-670.3142,40004.08608232985,2276628936.4725494
2024-07-21 09:00:00.000 UTC,0.56348178,37679.3335460106,40004.09608232985,2276629606.7867494
2024-07-21 08:00:00.000 UTC,41.02283186,2737660.325090374,40003.53260054985,2276591927.453203
2024-07-21 07:00:00.000 UTC,-68.36533046,-4564820.11283805,39962.50976868985,2273854267.128113
2024-07-21 06:00:00.000 UTC,-0.3494902,-23453.078085907997,40030.87509914985,2278419087.240951
2024-07-21 05:00:00.000 UTC,15.61364035,1047759.2688700831,40031.224589349855,2278442540.319037
2024-07-21 03:00:00.000 UTC,0.01901334,1280.428664958,40015.610948999856,2277394781.050167
2024-07-21 02:00:00.000 UTC,9.06293716,610301.9947880072,40015.59193565985,2277393500.621502
2024-07-21 01:00:00.000 UTC,-0.88750809,-59577.12231988859,40006.52899849985,2276783198.6267138
2024-07-21 00:00:00.000 UTC,-1.75992781,-118261.60505939851,40007.416506589856,2276842775.7490335
2024-07-20 23:00:00.000 UTC,0.08764897,5888.5838587684,40009.17643439986,2276961037.354093
2024-07-20 22:00:00.000 UTC,0.00596393,400.57475372320005,40009.088785429856,2276955148.770234
2024-07-20 21:00:00.000 UTC,-3.4315736,-231307.140189216,40009.082821499855,2276954748.1954803
2024-07-20 20:00:00.000 UTC,0.2151292,14473.152531552,40012.51439509985,2277186055.3356695
2024-07-20 19:00:00.000 UTC,5.68032842,383493.7972913762,40012.299265899856,2277171582.183138
2024-07-20 18:00:00.000 UTC,1.10815812,74714.71327463159,40006.618937479856,2276788088.3858466
2024-07-20 17:00:00.000 UTC,12.96643652,866846.9959726728,40005.51077935986,2276713373.672572
2024-07-20 16:00:00.000 UTC,-0.41062816,-27448.542012240003,39992.54434283986,2275846526.6765995
2024-07-20 15:00:00.000 UTC,-0.50735165,-33804.728822137,39992.95497099986,2275873975.2186117
2024-07-20 14:00:00.000 UTC,0.10266977,6836.464788106099,39993.46232264986,2275907779.947434
2024-07-20 12:00:00.000 UTC,-6.67055578,-443898.07117474417,39993.35965287986,2275900943.482646
2024-07-20 11:00:00.000 UTC,-1.4568111,-96975.850424031,40000.03020865986,2276344841.5538206
2024-07-20 10:00:00.000 UTC,0.96923014,64604.277289235,40001.48701975986,2276441817.4042444
2024-07-20 09:00:00.000 UTC,-0.27328464,-18191.3205053808,40000.51778961986,2276377213.126955
2024-07-20 08:00:00.000 UTC,0.06982734,4652.7052931238,40000.79107425986,2276395404.4474607
2024-07-20 07:00:00.000 UTC,0.41711236,27812.655908058,40000.721246919864,2276390751.7421675
2024-07-20 06:00:00.000 UTC,-1.484286,-98834.25578202002,40000.30413455986,2276362939.0862594
2024-07-20 05:00:00.000 UTC,-5.62776655,-375428.5316611619,40001.78842055986,2276461773.3420415
2024-07-20 04:00:00.000 UTC,-3.78352006,-252273.956216623,40007.41618710986,2276837201.8737025
2024-07-20 03:00:00.000 UTC,1.69032909,112620.84634121221,40011.199707169864,2277089475.8299193
2024-07-20 02:00:00.000 UTC,1.79190218,119016.40465048539,40009.50937807986,2276976854.983578
2024-07-20 01:00:00.000 UTC,8.11020101,539511.9010138564,40007.717475899866,2276857838.5789275
2024-07-20 00:00:00.000 UTC,1.95782069,130621.5871223165,39999.607274889866,2276318326.6779137
2024-07-19 23:00:00.000 UTC,7.5388,503093.072992,39997.64945419987,2276187705.090791
2024-07-19 22:00:00.000 UTC,-36.32738832,-2431965.709719172,39990.11065419987,2275684612.0177994
2024-07-19 21:00:00.000 UTC,0.53217501,35640.995065723204,40026.43804251987,2278116577.7275186
2024-07-19 20:00:00.000 UTC,6.75604262,454246.0386978624,40025.90586750987,2278080936.732453
2024-07-19 19:00:00.000 UTC,24.36189217,1627361.9723909935,40019.14982488987,2277626690.693755
2024-07-19 18:00:00.000 UTC,-8.31929912,-555751.4769376415,39994.78793271987,2275999328.721364
2024-07-19 17:00:00.000 UTC,3.93295507,261353.35958445122,40003.107231839866,2276555080.198302
2024-07-19 16:00:00.000 UTC,37.01319534,2436191.861340897,39999.17427676987,2276293726.8387175
2024-07-19 15:00:00.000 UTC,35.37210129,2326204.148536315,39962.16108142987,2273857534.9773765
2024-07-19 14:00:00.000 UTC,4.39210058,286397.81072833843,39926.78898013987,2271531330.8288403
2024-07-19 13:00:00.000 UTC,23.85036553,1536550.7361313486,39922.39687955987,2271244933.0181117
2024-07-19 12:00:00.000 UTC,0.13501444,8655.9566677496,39898.54651402987,2269708382.2819805
2024-07-19 11:00:00.000 UTC,1.11809316,71602.4511668364,39898.41149958987,2269699726.3253126
2024-07-19 10:00:00.000 UTC,1.77700884,113262.634042152,39897.29340642987,2269628123.874146
2024-07-19 08:00:00.000 UTC,-9.20886605,-586953.046699011,39895.51639758987,2269514861.2401037
2024-07-19 07:00:00.000 UTC,-139.418203,-8952986.67586431,39904.72526363987,2270101814.286803
2024-07-19 06:00:00.000 UTC,30.88381715,1982485.343023998,40044.14346663987,2279054800.962667
2024-07-19 05:00:00.000 UTC,-0.4759661,-30552.949350184,40013.25964948987,2277072315.619643
2024-07-19 04:00:00.000 UTC,0.28089567,18068.392065170698,40013.73561558987,2277102868.5689936
2024-07-19 03:00:00.000 UTC,0.19232228,12274.163690646801,40013.454719919864,2277084800.1769285
2024-07-19 02:00:00.000 UTC,2.44481629,156058.61359061048,40013.26239763986,2277072526.013238
2024-07-19 01:00:00.000 UTC,152.42819587,9699248.464039532,40010.81758134986,2276916467.399647
2024-07-18 23:00:00.000 UTC,0.36796425,23560.5485471625,39858.38938547986,2267217218.935608
2024-07-18 22:00:00.000 UTC,2.28558654,145953.1909741086,39858.02142122986,2267193658.3870606
2024-07-18 21:00:00.000 UTC,70.36315657,4491157.851970668,39855.73583468986,2267047705.1960864
2024-07-18 20:00:00.000 UTC,-1.61254454,-102593.3248493254,39785.372678119864,2262556547.3441157
2024-07-18 19:00:00.000 UTC,-1.104656,-70218.37550448,39786.98522265987,2262659140.668965
2024-07-18 18:00:00.000 UTC,3.67459042,233704.5753923714,39788.08987865987,2262729359.0444694
2024-07-18 17:00:00.000 UTC,-12.7326841,-813721.903384892,39784.41528823987,2262495654.469077
2024-07-18 16:00:00.000 UTC,12.37525171,786716.7791527439,39797.14797233987,2263309376.372462
2024-07-18 15:00:00.000 UTC,11.7222993,750124.233412146,39784.77272062987,2262522659.593309
2024-07-18 14:00:00.000 UTC,2.33928446,151169.708231012,39773.05042132987,2261772535.3598967
2024-07-18 13:00:00.000 UTC,-6.81529227,-442187.8847803044,39770.71113686987,2261621365.6516657
2024-07-18 12:00:00.000 UTC,-3.87470444,-250943.6056807352,39777.52642913987,2262063553.536446
