hour,token_col,collateral_amount_usd,debt_amount_usd,extracted,liquidation_count
2025-02-03 01:00:00,WETH,42889884.45760759,37739144.39123193,5150740.066375668,244
2025-02-03 00:00:00,WETH,8460.027829250548,8028.891531231167,431.1362980193795,20
2025-02-02 23:00:00,WETH,8590.094031979326,8069.740138062087,520.353893917239,2
2025-02-02 22:00:00,WETH,4771470.847931531,4414497.076751644,356973.77117988665,81
2025-02-02 21:00:00,WETH,32566.381171291574,30889.163640803024,1677.2175304885432,19
2025-02-02 20:00:00,WETH,2147.485374289897,2045.8040016761565,101.68137261374113,6
2025-02-02 19:00:00,WETH,225682.71326203193,213609.98839098614,12072.72487104579,15
2025-02-02 18:00:00,WETH,146063.92726292438,138290.13066192303,7773.796601001335,11
2025-02-02 17:00:00,WETH,10483.927355322357,9966.420383707382,517.5069716149744,3
2025-02-02 16:00:00,WETH,1725178.7684080289,1622428.700091179,102750.06831684978,10
2025-02-02 15:00:00,WETH,0,0,0,0
2025-02-02 14:00:00,WETH,0,0,0,0
2025-02-02 13:00:00,WETH,0,0,0,0
2025-02-02 12:00:00,WETH,0,0,0,0
2025-02-02 11:00:00,WETH,22474.2813725277,21352.78072631363,1121.5006462140705,2
2025-02-02 10:00:00,WETH,0,0,0,0
2025-02-02 09:00:00,WETH,0,0,0,0
2025-02-02 08:00:00,WETH,0,0,0,0
2025-02-02 07:00:00,WETH,0,0,0,0
2025-02-02 06:00:00,WETH,0,0,0,0
2025-02-02 05:00:00,WETH,0,0,0,0
2025-02-02 04:00:00,WETH,56.453601698379806,54.13025635148084,2.323345346898968,1
2025-02-02 03:00:00,WETH,120322.32228736086,115039.80158246853,5282.52070489234,4
2025-02-02 02:00:00,WETH,0,0,0,0
2025-02-02 01:00:00,WETH,0,0,0,0
2025-02-02 00:00:00,WETH,0,0,0,0
2025-02-01 23:00:00,WETH,0,0,0,0
2025-02-01 22:00:00,WETH,73.22700714982582,70.193542817805,3.033464332020827,1
2025-02-01 21:00:00,WETH,0,0,0,0
2025-02-01 20:00:00,WETH,1948.7435526742029,1861.9002465807719,86.84330609343101,1
2025-02-01 19:00:00,WETH,22670.02824166873,21624.83485516431,1045.1933865044193,1
2025-02-01 18:00:00,WETH,0,0,0,0
2025-02-01 17:00:00,WETH,0,0,0,0
2025-02-01 16:00:00,WETH,0,0,0,0
2025-02-01 15:00:00,WETH,0,0,0,0
2025-02-01 14:00:00,WETH,0,0,0,0
2025-02-01 13:00:00,WETH,0,0,0,0
2025-02-01 12:00:00,WETH,67.87300754917598,64.87748849831615,2.9955190508598264,1
2025-02-01 11:00:00,WETH,0,0,0,0
2025-02-01 10:00:00,WETH,0,0,0,0
2025-02-01 09:00:00,WETH,0,0,0,0
2025-02-01 08:00:00,WETH,9055.36271443638,8645.634084706862,409.7286297295177,1
2025-02-01 07:00:00,WETH,0,0,0,0
