Threshold,Sharpe_Ratio
808000000,0.4235
809000000,0.4235
810000000,0.4235
811000000,0.4235
812000000,0.3649
813000000,0.3649
814000000,0.3649
815000000,0.3649
816000000,0.3649
817000000,0.3649
818000000,0.3649
819000000,0.3649
820000000,0.3649
821000000,0.3649
822000000,0.3649
823000000,0.3649
824000000,0.3649
825000000,0.3649
826000000,0.3649
827000000,0.3649
828000000,0.3649
829000000,0.3649
830000000,0.3649
831000000,0.3649
832000000,0.3649
833000000,0.3649
834000000,0.3649
835000000,0.3649
836000000,0.3649
837000000,0.3649
838000000,0.3649
839000000,0.3649
840000000,0.3649
841000000,0.3649
842000000,0.3764
843000000,0.3764
844000000,0.3764
845000000,0.3764
846000000,0.3764
847000000,0.3764
848000000,0.3764
849000000,0.3764
850000000,0.3764
851000000,0.3764
852000000,0.3764
853000000,0.3764
854000000,0.3764
855000000,0.3764
856000000,0.3764
857000000,0.3764
858000000,0.3764
859000000,0.3764
860000000,0.3764
861000000,0.3764
862000000,0.3764
863000000,0.3764
864000000,0.3764
865000000,0.3764
866000000,0.3764
867000000,0.3764
868000000,0.3764
869000000,0.3764
870000000,0.3764
871000000,0.3764
872000000,0.3764
873000000,0.3764
874000000,0.3764
875000000,0.3764
876000000,0.3764
877000000,0.3764
878000000,0.3764
879000000,0.3764
880000000,0.3764
881000000,0.3764
882000000,0.3764
883000000,0.3764
884000000,0.3764
885000000,0.3764
886000000,0.3764
887000000,0.3764
888000000,0.3764
889000000,0.3764
890000000,0.3764
891000000,0.3764
892000000,0.3689
893000000,0.3801
894000000,0.3801
895000000,0.3801
896000000,0.3801
897000000,0.3801
898000000,0.3801
899000000,0.3801
900000000,0.3801
901000000,0.3801
902000000,0.4046
903000000,0.4046
904000000,0.4046
905000000,0.4046
906000000,0.4046
907000000,0.4046
908000000,0.4046
909000000,0.4046
910000000,0.4046
911000000,0.4046
912000000,0.4046
913000000,0.4046
914000000,0.4046
915000000,0.4046
916000000,0.4046
917000000,0.4046
918000000,0.4046
919000000,0.4046
920000000,0.4046
921000000,0.5399
922000000,0.5399
923000000,0.5798
924000000,0.5798
925000000,0.5798
926000000,0.5798
927000000,0.5798
928000000,0.5798
929000000,0.5798
930000000,0.5798
931000000,0.5798
932000000,0.5798
933000000,0.4820
934000000,0.4820
935000000,0.4820
936000000,0.5318
937000000,0.5318
938000000,0.5318
939000000,0.5318
940000000,0.4479
941000000,0.4479
942000000,0.4450
943000000,0.4450
944000000,0.4450
945000000,0.4450
946000000,0.4450
947000000,0.4450
948000000,0.4019
949000000,0.4019
950000000,0.4019
951000000,0.4019
952000000,0.4019
953000000,0.4019
954000000,0.4019
955000000,0.4019
956000000,0.4019
957000000,0.4019
958000000,0.4019
959000000,0.4019
960000000,0.4019
961000000,0.4019
962000000,0.4019
963000000,0.4019
964000000,0.4019
965000000,0.4019
966000000,0.4019
967000000,0.4224
968000000,0.4224
969000000,0.4224
970000000,0.4224
971000000,0.4224
972000000,0.4224
973000000,0.4224
974000000,0.4224
975000000,0.4224
976000000,0.4224
977000000,0.4224
978000000,0.4224
979000000,0.4224
980000000,0.4224
981000000,0.4224
982000000,0.4224
983000000,0.4224
984000000,0.4224
985000000,0.3581
986000000,0.3581
987000000,0.3581
988000000,0.3581
989000000,0.3581
990000000,0.3581
991000000,0.3581
992000000,0.3581
993000000,0.3581
994000000,0.3581
995000000,0.3581
996000000,0.3581
997000000,0.3581
998000000,0.3581
999000000,0.3581
1000000000,0.3581
1001000000,0.3581
1002000000,0.3581
1003000000,0.3581
1004000000,0.3581
1005000000,0.3581
1006000000,0.3581
1007000000,0.3581
1008000000,0.3581
1009000000,0.3581
1010000000,0.3581
1011000000,0.3581
1012000000,0.3581
1013000000,0.3581
1014000000,0.3581
1015000000,0.3581
1016000000,0.3581
1017000000,0.3781
1018000000,0.3781
1019000000,0.3781
1020000000,0.3781
1021000000,0.3781
1022000000,0.3781
1023000000,0.3781
1024000000,0.3781
1025000000,0.3781
1026000000,0.5507
1027000000,0.5507
1028000000,0.5507
1029000000,0.5507
1030000000,0.5507
1031000000,0.5507
1032000000,0.5507
1033000000,0.5507
1034000000,0.5507
1035000000,0.5507
1036000000,0.5507
1037000000,0.5507
1038000000,0.5507
1039000000,0.5507
1040000000,0.5507
1041000000,0.5507
1042000000,0.5507
1043000000,0.5507
1044000000,0.5507
1045000000,0.5507
1046000000,0.5507
1047000000,0.5507
1048000000,0.5507
1049000000,0.5507
1050000000,0.5507
1051000000,0.5507
1052000000,0.6949
1053000000,0.6949
1054000000,0.6911
1055000000,0.6911
1056000000,0.6911
1057000000,0.6911
1058000000,0.6911
1059000000,0.6911
1060000000,0.7886
1061000000,0.6362
1062000000,0.6362
1063000000,0.6362
1064000000,0.6362
1065000000,0.6362
1066000000,0.5897
1067000000,0.5897
1068000000,0.5897
1069000000,0.5897
1070000000,0.5897
1071000000,0.5897
1072000000,0.5897
1073000000,0.6259
1074000000,0.6259
1075000000,0.6259
1076000000,0.6259
1077000000,0.6259
1078000000,0.6259
1079000000,0.6259
1080000000,0.6259
1081000000,0.6259
1082000000,0.6259
1083000000,0.6259
1084000000,0.6259
1085000000,0.6259
1086000000,0.6646
1087000000,0.6646
1088000000,0.6646
1089000000,0.6646
1090000000,0.6646
1091000000,0.6646
1092000000,0.6454
1093000000,0.6454
1094000000,0.6454
1095000000,0.6454
1096000000,0.6454
1097000000,0.6454
1098000000,0.6454
1099000000,0.6454
1100000000,0.6952
1101000000,0.6952
1102000000,0.6952
1103000000,0.6952
1104000000,0.6952
1105000000,0.6952
1106000000,0.6952
1107000000,0.6952
1108000000,0.6952
1109000000,0.6952
1110000000,0.6952
1111000000,0.6952
1112000000,0.6952
1113000000,0.6952
1114000000,0.6952
1115000000,0.6952
1116000000,0.6952
1117000000,0.6952
1118000000,0.6952
1119000000,0.6952
1120000000,0.6952
1121000000,0.6952
1122000000,0.6952
1123000000,0.6952
1124000000,0.6952
1125000000,0.6952
1126000000,0.6952
1127000000,0.6952
1128000000,0.6952
1129000000,0.6952
1130000000,0.7302
1131000000,0.7302
1132000000,0.7302
1133000000,0.7302
1134000000,0.7302
1135000000,0.7302
1136000000,0.7302
1137000000,0.7302
1138000000,0.7302
1139000000,0.7302
1140000000,0.7302
1141000000,0.7302
1142000000,0.7292
1143000000,0.7292
1144000000,0.7292
1145000000,0.7292
1146000000,0.7292
1147000000,0.7292
1148000000,0.7292
1149000000,0.7292
1150000000,0.7292
1151000000,0.7292
1152000000,0.7292
1153000000,0.7292
1154000000,0.7292
1155000000,0.7292
1156000000,0.7292
1157000000,0.7292
1158000000,0.7292
1159000000,0.7292
1160000000,0.7292
