upper_threshold,lower_threshold,sharpe_ratio
0.9,0.2,-0.49284660483509185
0.9,0.3,-0.49672467921405683
0.9,0.4,-0.4491402105562496
0.9,0.5,-0.4347854711241906
0.9,0.6,-0.42997358714493045
0.9,0.7,-0.4352807424885084
0.9,0.8,-0.4352807424885084
1.0,-1.4,-0.4472873054218002
1.0,-1.3,-0.5842505664307526
1.0,-1.2,-0.5842505664307526
1.0,-1.1,-0.5842505664307526
1.0,-1.0,-0.37223089814913285
1.0,-0.9,-0.35831103886735644
1.0,-0.8,-0.35831103886735644
1.0,-0.7,-0.35831103886735644
1.0,-0.6,-0.4249392407346965
1.0,-0.5,-0.26374721794807965
1.0,-0.4,-0.11107204145057721
1.0,-0.3,-0.09530383966109436
1.0,-0.2,-0.3212676212692933
1.0,-0.1,-0.5267226806965912
1.0,0.0,-0.4546485857273497
1.0,0.1,-0.4024693105000468
1.0,0.2,-0.3802958347209562
1.0,0.3,-0.382418827879267
1.0,0.4,-0.432254005043984
1.0,0.5,-0.41156756303758224
1.0,0.6,-0.41156756303758224
1.0,0.7,-0.4168653801249393
1.0,0.8,-0.4168653801249393
1.0,0.9,-0.4168653801249393
1.1,-1.4,-0.4472873054218002
1.1,-1.3,-0.3938125895084497
1.1,-1.2,-0.3938125895084497
1.1,-1.1,-0.3938125895084497
1.1,-1.0,0.051278755312062774
1.1,-0.9,0.06611980987776366
1.1,-0.8,0.06611980987776366
1.1,-0.7,0.06611980987776366
1.1,-0.6,0.018834326702624787
1.1,-0.5,0.2367930359991708
1.1,-0.4,0.15219261881786905
1.1,-0.3,0.1334700581541528
1.1,-0.2,-0.15761657753048117
1.1,-0.1,-0.47413020362381036
1.1,0.0,-0.4783637912004261
1.1,0.1,-0.42589389834665003
1.1,0.2,-0.4039266903589255
1.1,0.3,-0.4060319726940128
1.1,0.4,-0.4052858067933959
1.1,0.5,-0.3847606797636412
1.1,0.6,-0.3847606797636412
1.1,0.7,-0.39003733099757626
1.1,0.8,-0.39003733099757626
1.1,0.9,-0.39003733099757626
1.1,1.0,-0.39003733099757626
1.2,-1.4,-0.4472873054218002
1.2,-1.3,-0.3938125895084497
1.2,-1.2,-0.3938125895084497
1.2,-1.1,-0.3938125895084497
1.2,-1.0,0.051278755312062774
1.2,-0.9,0.06611980987776366
1.2,-0.8,0.06611980987776366
1.2,-0.7,0.06611980987776366
1.2,-0.6,0.018834326702624787
1.2,-0.5,0.2367930359991708
1.2,-0.4,0.15219261881786905
1.2,-0.3,0.1334700581541528
1.2,-0.2,-0.15761657753048117
1.2,-0.1,-0.47413020362381036
1.2,0.0,-0.4783637912004261
1.2,0.1,-0.42589389834665003
1.2,0.2,-0.4039266903589255
1.2,0.3,-0.4060319726940128
1.2,0.4,-0.4052858067933959
1.2,0.5,-0.3847606797636412
1.2,0.6,-0.3847606797636412
1.2,0.7,-0.39003733099757626
1.2,0.8,-0.39003733099757626
